"","Easting","Northing","BFS","Name","Count","i1","i6","i11","iv14"
"126",699833.9,240433.9,"115_1","Gossau (ZH)",6,"1","2","2","2"
"127",694666.4,239491.7,"192_1","Egg",6,"2","2","2","2"
"128",696680.1,245189.9,"198_1","Uster",8,"2","2","2","2"
"129",694830.2,247350.3,"198_2","Nänikon",5,"2","2","1","2"
"130",693024.8,244020.1,"195_1","Maur",9,"2","2","2","2"
"131",691254.6,236105.7,"156_1","Meilen",11,"2","2","2","2"
"132",690649.7,247343.2,"193_1","Fällanden",4,"2","2","2","2"
"133",696930,251676.6,"174_1","Illnau-Effretikon",20,"2","2","2","2"
"134",696845.5,261856.2,"230_1","Winterthur",8,"2","2","2","2"
"135",693216.8,272190.2,"30_1","Andelfingen",8,"2","2","2","2"
"136",691064.8,275701.6,"35_1","Marthalen",8,"2","2","2","2"
"137",688037.9,270075.6,"28_1","Flaach",6,"2","2","2","2"
"138",692601.3,264925.7,"223_1","Neftenbach",5,"2","2","2","2"
"139",689572.1,254881.1,"52_1","Bassersdorf",15,"2","2","2","2"
"140",684585.3,269719.5,"2933_1","Buchberg",6,"2","2","2","2"
"141",685793.7,264959.4,"68_1","Rorbas",7,"2","2","2","2"
"142",682735.8,248230.3,"261_1","Zürich",10,"2","2","2","2"
"143",682667.6,264267.2,"53_1","Bülach",10,"2","2","1","2"
"144",681520.7,270058.5,"55_1","Eglisau",9,"1","2","2","2"
"145",682508.3,256489.7,"97_1","Rümlang",5,"2","2","1","2"
"146",682828.8,273998.3,"67_1","Rafz",8,"2","2","2","2"
"147",673751.4,268898.6,"4308_1","Kaiserstuhl",5,"1","2","2","2"
"148",677477.3,264643.6,"100_1","Stadel",10,"2","2","2","2"
"149",674395.5,248420.2,"250_1","Urdorf",10,"2","2","2","2"
"150",670703.1,261943.8,"91_1","Niederweningen",5,"1","2","2","2"
"151",675432.9,259636.3,"95_1","Regensberg",7,"2","2","2","2"
"152",689606.434,206371.967,"1364_1","Ingenbohl",17,"1","2","1","2"
"153",687288.1,225931.2,"1704_1","Menzingen",7,"1","2","1","2"
