"","Easting","Northing","Height","Population","i1_SVM","i6_SVM","i11_SVM","iv14_SVM","i1_MRF","i6_MRF","i11_MRF","iv14_MRF","i1_Change","i6_Change","i11_Change","iv14_Change","i1_Energy","i6_Energy","i11_Energy","iv14_Energy"
"8931",642735.446420552,245728.696294251,419.662933349609,1,1,2,1,2,1,2,1,2,0,0,0,0,0.528532627589762,1.78220431447301,3513.58289850786,0.876018187041796
"8932",644752.405917917,245728.696294251,425.600738525391,1,1,2,2,2,1,2,2,2,0,0,0,0,0.513859524197119,1.78409047729586,3510.64283700662,0.882311392833989
"8933",646769.365415283,245728.696294251,410.056243896484,1,1,2,2,2,1,2,2,2,0,0,0,0,0.50892364232788,1.78599816778989,1170.11146890075,0.88909229469416
"8934",648786.324912649,245728.696294251,483.063446044922,1,1,2,2,2,1,2,2,2,0,0,0,0,0.514080546135812,1.7879069001417,0.781021638524684,0.896223023973435
"8935",650803.284410014,245728.696294251,543.117248535156,1,1,2,2,2,1,2,2,2,0,0,0,0,0.530396522286541,1.7897967659108,0.65697380096526,0.903541395315808
"8936",652820.24390738,245728.696294251,489.848876953125,1,1,2,2,2,1,2,2,2,0,0,0,0,0.559853581752252,1.79164867675805,0.545319924670191,0.910868751672026
"8937",654837.203404745,245728.696294251,453.587066650391,1,1,2,2,2,1,2,2,2,0,0,0,0,0.605526841139893,1.79344462923022,0.447831523773538,0.918020819989535
"8938",656854.162902111,245728.696294251,582.73193359375,1,1,2,2,2,1,2,2,2,0,0,0,0,0.671645164204413,1.79516797998328,0.364962668667324,0.924820162879161
"8939",658871.122399476,245728.696294251,560.543823242188,1,1,2,2,2,1,2,2,2,0,0,0,0,0.763325944814069,1.79680371777372,0.29616087044592,0.931108485760368
"8940",660888.081896842,245728.696294251,415.32568359375,1,1,2,2,2,1,2,2,2,0,0,0,0,0.885738785399473,1.79833871726521,0.240202020231687,0.936757095392798
"8941",662905.041394208,245728.696294251,418.680755615234,1,1,2,2,2,1,2,2,2,0,0,0,0,1.04258534186689,1.79976195937534,0.195490463188811,0.94167419001879
"8942",664922.000891573,245728.696294251,456.631500244141,1,1,2,2,2,1,2,2,2,0,0,0,0,1.23374171894852,1.80106470363359,0.160332224507522,0.945808276711306
"8943",666938.960388939,245728.696294251,368.856323242188,1,1,2,2,2,1,2,2,2,0,0,0,0,1.45186223761142,1.80224059985797,0.13313445614449,0.949147688764463
"8944",668955.919886304,245728.696294251,443.049072265625,1,2,2,2,2,1,2,2,2,1,0,0,0,4390.92434945,1.80328572930149,0.112509812773375,0.951716755813232
"8945",670972.87938367,245728.696294251,515.744323730469,1,2,2,2,2,2,2,2,2,0,0,0,0,4391.16334850557,1.80419856908879,0.0973079141908268,0.953569558411818
"8946",672989.838881035,245728.696294251,639.905578613281,1,2,2,2,2,2,2,2,2,0,0,0,0,0.883787848075883,1.80497987799706,0.0866047724835417,0.954782345276299
"8947",675006.798378401,245728.696294251,462.112060546875,5,2,2,2,2,2,2,2,2,0,0,0,0,0.693380779948649,1.80563250611567,0.0796722110902037,0.955445634060803
"8948",677023.757875767,245728.696294251,563.980712890625,3,2,2,2,2,2,2,2,2,0,0,0,0,0.544910134427738,1.80616113530801,0.0759397428865463,0.955656819408727
"8949",679040.717373132,245728.696294251,755.794006347656,1,2,2,2,2,2,2,2,2,0,0,0,0,0.429057782478331,1.80657196137502,0.0749551776584174,0.955513848150256
"8950",681057.676870498,245728.696294251,464.706420898438,172,2,2,2,2,2,2,2,2,0,0,0,0,0.341496145266218,1.80687233210918,0.0763468772833251,0.955110253820025
"8952",685091.595865229,245728.696294251,458.868957519531,18,2,2,2,2,2,2,2,2,0,0,0,0,0.230637698334052,1.80717451240155,0.0849713542879682,0.95385332851568
"8953",687108.555362595,245728.696294251,603.337524414062,96,2,2,2,2,2,2,2,2,0,0,0,0,0.198403030112796,1.80719324309472,0.0915734997102431,0.95313950716902
"8954",689125.51485996,245728.696294251,659.382202148438,1,2,2,2,2,2,2,2,2,0,0,0,0,0.177178872473575,1.80713460711156,0.0992476212591544,0.952442723984742
"8955",691142.474357326,245728.696294251,556.769409179688,1,2,2,2,2,2,2,2,2,0,0,0,0,0.164673728627424,1.80700595110217,0.107609288355841,0.951804375668565
"8956",693159.433854691,245728.696294251,435.002014160156,1,2,2,2,2,2,2,2,2,0,0,0,0,0.159226994927278,1.80681364790901,0.116239291111154,0.951255421901415
"8957",695176.393352057,245728.696294251,469.256042480469,1,2,2,2,2,2,2,2,2,0,0,0,0,0.159626289283115,1.80656290208281,0.124696409917839,0.950817319666533
"8958",697193.352849422,245728.696294251,488.868988037109,32,2,2,2,2,2,2,2,2,0,0,0,0,0.164947462745135,1.80625763267586,0.132539923733782,0.950503012510937
"8959",699210.312346788,245728.696294251,577.780822753906,1,2,2,2,2,2,2,2,2,0,0,0,0,0.174422360897267,1.80590043853726,0.139358702722449,0.95031788095087
"8960",701227.271844154,245728.696294251,536.995971679688,1,2,2,2,2,2,2,2,2,0,0,0,0,0.187334977522668,1.80549264793515,0.14480222647127,0.950260600962827
"8961",703244.231341519,245728.696294251,581.431762695312,1,2,2,2,2,2,2,2,2,0,0,0,0,0.202947420723544,1.80503445090424,0.148608259324706,0.950323891839097
"8962",705261.190838885,245728.696294251,748.018371582031,1,2,2,2,2,2,2,2,2,0,0,0,0,0.220458519195597,1.80452510934492,0.150622453339139,0.950495162284505
"8963",707278.15033625,245728.696294251,752.5126953125,1,2,2,2,2,2,2,2,2,0,0,0,0,0.238997331670857,1.80396323666131,0.15080671832581,0.950757084690907
"8964",709295.109833616,245728.696294251,873.189147949219,3,2,2,2,2,2,2,2,2,0,0,0,0,0.257650395186173,1.80334713571094,0.149235365782253,0.951088142324966
"8965",711312.069330981,245728.696294251,768.629272460938,1,2,2,2,2,2,2,2,2,0,0,0,0,0.275516064549647,1.80267518115671,0.146080233610282,0.951463202793383
"8966",713329.028828347,245728.696294251,831.268432617188,1,2,2,2,2,2,2,2,2,0,0,0,0,0.291773847999407,1.80194623009402,0.141587726947837,0.951854173440586
"8967",715345.988325713,245728.696294251,867.482421875,1,2,2,2,2,2,2,2,2,0,0,0,0,0.305753577380296,1.80116004321648,0.136051654702039,0.952230789950876
"8968",717362.947823078,245728.696294251,939.595153808594,1,2,2,2,2,2,2,2,2,0,0,0,0,0.31698995227417,1.80031769793245,0.129785824634979,0.952561578084393
"8969",719379.907320444,245728.696294251,900.688598632812,1,2,2,2,2,2,2,2,2,0,0,0,0,0.325252243906792,1.79942197487991,0.123099714733837,0.952815010247704
"8970",721396.866817809,245728.696294251,793.538024902344,1,2,2,2,2,2,2,2,2,0,0,0,0,0.330545176256102,1.7984777002998,0.116279436748556,0.952960854258419
"8971",723413.826315175,245728.696294251,618.550903320312,1,2,2,2,2,2,2,2,2,0,0,0,0,0.333083211855178,1.79749202874194,0.109574968531181,0.952971682972659
"8972",725430.78581254,245728.696294251,729.424743652344,3,2,2,2,2,2,2,2,2,0,0,0,0,0.333245075259788,1.79647465353868,0.103193533773387,0.952824483299862
"8973",727447.745309906,245728.696294251,676.051025390625,1,2,2,2,2,2,2,2,2,0,0,0,0,0.331517607589842,1.79543793624185,0.0972982277439061,0.952502275452477
"8974",729464.704807272,245728.696294251,797.138732910156,16,2,2,2,2,2,2,2,2,0,0,0,0,0.328438019976106,1.79439695054648,0.0920105820662149,0.95199563259803
"8975",731481.664304637,245728.696294251,846.61181640625,1,2,2,2,2,2,2,2,2,0,0,0,0,0.324541884305816,1.79336944081427,0.0874156874860834,0.95130398181117
"8976",733498.623802003,245728.696294251,980.568725585938,1,2,2,2,2,2,2,2,2,0,0,0,0,0.320321569373426,1.79237569981199,0.0835686517895153,0.950436572731735
"8977",735515.583299368,245728.696294251,931.168518066406,1,2,2,2,2,2,2,2,2,0,0,0,0,0.316197082037316,1.79143837433762,0.0805014491284555,0.949413022007035
"8978",737532.542796734,245728.696294251,953.174011230469,1,2,2,2,2,2,2,2,2,0,0,0,0,0.312499002616284,1.79058221069216,0.0782295239064912,0.948263378149361
"8979",739549.5022941,245728.696294251,887.9384765625,1,2,2,2,2,2,2,2,2,0,0,0,0,0.309461734724734,1.78983375420858,0.0767577856634467,0.947027698735259
"8980",741566.461791465,245728.696294251,927.406860351562,1,2,2,2,2,2,2,2,2,0,0,0,0,0.307224668503397,1.78922101810546,0.0760858411228147,0.945755183386745
"8981",743583.421288831,245728.696294251,1051.73046875,1,2,2,2,2,2,2,2,2,0,0,0,0,0.305838919463416,1.78877313674159,0.0762124496881478,0.944502953896768
"8982",745600.380786196,245728.696294251,847.713256835938,1,2,2,2,2,2,2,2,2,0,0,0,0,0.305277782484966,1.78852001696967,0.0771392676348728,0.943334609615746
"8983",747617.340283562,245728.696294251,768.307250976562,1,2,2,2,2,2,2,2,2,0,0,0,0,0.30544965244425,1.78849199889081,0.0788739788585548,0.942318706016427
"8984",749634.299780927,245728.696294251,930.948852539062,1,2,2,2,2,2,2,2,2,0,0,0,0,0.306212688666189,1.78871953414167,0.0814329118992729,0.941527304375431
"8985",751651.259278293,245728.696294251,1016.08715820312,1,2,2,2,2,2,2,2,2,0,0,0,0,0.307390809378032,1.78923288620255,0.0848432272471673,0.941034721343503
"8986",753668.218775659,245728.696294251,1146.18530273438,1,2,2,2,2,2,2,2,2,0,0,0,0,0.308790657912352,1.79006185341478,0.0891447350653001,0.940916572460381
"8987",755685.178273024,245728.696294251,817.636779785156,1,2,2,2,2,2,2,2,2,0,0,0,0,0.31021902793314,1.79123551174882,0.0943913769231315,0.94124915903119
"8988",757702.13777039,245728.696294251,505.801025390625,39,2,2,2,2,2,2,2,2,0,0,0,0,0.311499969557778,1.79278197114906,0.100652377981248,0.94210919944102
"8989",759719.097267755,245728.696294251,432.470764160156,1,2,2,2,2,2,2,2,2,0,0,0,0,0.312490545955642,1.79472813673035,0.108013047854701,0.943573859445368
"8990",761736.056765121,245728.696294251,416.341491699219,1,2,2,2,2,2,2,2,2,0,0,0,0,0.313094086080519,1.79709946439813,0.116575177224196,0.945720995135955
"8991",763753.016262486,245728.696294251,428.311859130859,1,2,2,2,2,2,2,2,2,0,0,0,0,0.313269859560276,1.79991969973932,0.126456940981179,0.948629489167778
"8992",765769.975759852,245728.696294251,415.6826171875,1,2,2,2,2,2,2,2,2,0,0,0,0,0.313038401124004,1.80321058937318,0.137792175944361,0.952379535917124
"8993",767786.935257218,245728.696294251,478.116577148438,1,2,2,2,2,2,2,2,2,0,0,0,0,0.312482188317486,1.80699155540287,0.150728852656134,0.957052714208257
"8994",769803.894754583,245728.696294251,1071.03845214844,1,2,2,2,2,2,2,2,2,0,0,0,0,0.31174193303175,1.80156393643742,0.16542651059823,0.962731676968718
"8995",771820.854251949,245728.696294251,1296.3349609375,1,2,2,2,2,2,2,2,2,0,0,0,0,0.311009268364671,1.80603317689947,0.182052383964339,0.962316372548711
"8996",773837.813749314,245728.696294251,1217.81652832031,1,2,2,2,2,2,2,2,2,0,0,0,0,0.310516991363745,1.81099252406646,0.20077592877017,0.969692324960085
"8997",775854.77324668,245728.696294251,1358.59765625,1,2,2,2,2,2,2,2,2,0,0,0,0,0.310528189733987,1.81644683994644,0.221761500592319,0.978217049424015
"9015",582226.661499585,247744.308018996,725.738037109375,1,1,2,1,2,1,2,1,2,0,0,0,0,0.274089287319041,1.8286423719722,0.0999063570532588,1.84966474214631
"9016",584243.62099695,247744.308018996,819.645629882812,1,1,2,1,2,1,2,1,2,0,0,0,0,0.278525309562335,1.82079139227578,0.096104714058791,1.76224420091022
"9017",586260.580494316,247744.308018996,819.374877929688,1,1,2,1,2,1,2,1,2,0,0,0,0,0.284997189275156,1.81344664658149,0.0942138202797129,1.65955667020526
"9018",588277.539991681,247744.308018996,862.318420410156,1,1,2,1,2,1,2,1,2,0,0,0,0,0.29434159338475,1.80661891282781,0.0941596567982976,1.558079648146
"9019",590294.499489047,247744.308018996,791.4130859375,1,1,2,1,2,1,2,1,2,0,0,0,0,0.307763864949311,1.8003132969694,0.0959229402455613,1.45670511934327
"9020",592311.458986412,247744.308018996,686.636840820312,1,1,2,1,2,1,2,1,2,0,0,0,0,0.326943975692828,1.80371770637921,0.0995372628350457,1.35927790325357
"9021",594328.418483778,247744.308018996,464.581359863281,1,1,2,1,2,1,2,1,2,0,0,0,0,0.354114981382806,1.79806227508258,0.105086659308006,1.26910067567247
"9022",596345.377981144,247744.308018996,746.824401855469,1,1,2,1,2,1,2,1,2,0,0,0,0,0.392043070501397,1.79295831362479,0.112702430487069,1.18854554339595
"9023",598362.337478509,247744.308018996,676.87353515625,1,1,2,1,2,1,2,1,2,0,0,0,0,0.443802280756485,1.78839274265213,0.122558849250677,1.11888092836019
"9024",600379.296975875,247744.308018996,824.243225097656,1,1,2,1,2,1,2,1,2,0,0,0,0,0.512224219927849,1.7843498046371,0.134867289024541,1.06033029925038
"9025",602396.25647324,247744.308018996,480.300811767578,11,1,2,1,2,1,2,1,2,0,0,0,0,0.598931380995889,1.7808116522024,0.142608533362898,1.01229976305481
"9026",604413.215970606,247744.308018996,538.662841796875,1,1,2,1,2,1,2,1,2,0,0,0,0,0.703025517769808,1.7777588572713,0.159263251190419,0.973675575696651
"9027",606430.175467971,247744.308018996,644.294189453125,1,1,2,1,2,1,2,1,2,0,0,0,0,0.820081194520393,1.77517083893112,0.178864924632049,0.948877844768951
"9028",608447.134965337,247744.308018996,535.756896972656,1,1,2,1,2,1,2,1,2,0,0,0,0,0.94242659129802,1.77302621191359,0.201666593792225,0.923365714474961
"9029",610464.094462703,247744.308018996,757.38671875,1,1,2,1,2,1,2,1,2,0,0,0,0,1.06052383768464,1.7713030605239,0.227928330587681,0.903756571274933
"9030",612481.053960068,247744.308018996,803.662780761719,1,1,2,1,2,1,2,1,2,0,0,0,0,1.16472576115682,1.76997914481798,0.257919755915461,0.888812804548901
"9031",614498.013457434,247744.308018996,850.255615234375,1,1,2,1,2,1,2,1,2,0,0,0,0,1.24695563829978,1.76903204700632,0.291927897523418,0.877526124277764
"9032",616514.972954799,247744.308018996,975.8740234375,1,1,2,1,2,1,2,1,2,0,0,0,0,1.29429303050627,1.76843926663645,0.330270289482372,0.869105747519784
"9033",618531.932452165,247744.308018996,821.306335449219,1,1,2,1,2,1,2,1,2,0,0,0,0,1.32038941195513,1.76817827325141,0.373311726160742,0.862948145200651
"9034",620548.89194953,247744.308018996,918.952758789062,1,1,2,1,2,1,2,1,2,0,0,0,0,1.31352042771336,1.76822652509762,0.421481327733437,0.858602536425416
"9035",622565.851446896,247744.308018996,644.238952636719,1,1,2,1,2,1,2,1,2,0,0,0,0,1.27517809937234,1.76856146218907,0.475284778120858,0.855738794593241
"9036",624582.810944262,247744.308018996,796.705749511719,1,1,2,1,2,1,2,1,2,0,0,0,0,1.22305340558102,1.76916048172216,0.535304978664876,0.854120155230987
"9037",626599.770441627,247744.308018996,848.760803222656,1,1,2,1,2,1,2,1,2,0,0,0,0,1.14214660689641,1.7700009035336,0.602183157229294,0.853580951462293
"9038",628616.729938993,247744.308018996,624.306274414062,1,1,2,1,2,1,2,1,2,0,0,0,0,1.04833604431769,1.77105993302613,0.676572081618596,0.854008650908153
"9039",630633.689436358,247744.308018996,830.942687988281,1,1,2,1,2,1,2,1,2,0,0,0,0,0.949359504275806,1.77231462874088,0.75905420040971,0.855329159929342
"9040",632650.648933724,247744.308018996,682.544738769531,3,1,2,1,2,1,2,1,2,0,0,0,0,0.852569886950139,1.7737418814911,0.856700302205728,0.857494381072324
"9041",634667.60843109,247744.308018996,743.386962890625,1,1,2,1,2,1,2,1,2,0,0,0,0,0.763883987988952,1.77531841162543,0.952127569139138,0.860471198434961
"9042",636684.567928455,247744.308018996,488.191802978516,1,1,2,1,2,1,2,1,2,0,0,0,0,0.687192213522419,1.77702079048326,1.05760320601363,0.864231350237221
"9043",638701.527425821,247744.308018996,427.419189453125,20,1,2,1,2,1,2,1,2,0,0,0,0,0.624317309507203,1.77882549135899,1214.69883283522,0.868741991092093
"9044",640718.486923186,247744.308018996,491.033294677734,1,1,2,2,2,1,2,1,2,0,0,1,0,0.575424647082287,1.7807089742345,3512.61882468948,0.873957114126057
"9045",642735.446420552,247744.308018996,373.587097167969,6,1,2,2,2,1,2,2,2,0,0,0,0,0.539699893131837,1.78264780712069,3559.77904998411,0.879810344396196
"9046",644752.405917917,247744.308018996,420.330505371094,1,1,2,2,2,1,2,2,2,0,0,0,0,0.516025113016347,1.78461882505229,1169.89251106192,0.88620985810588
"9047",646769.365415283,247744.308018996,403.525573730469,109,1,2,2,2,1,2,2,2,0,0,0,0,0.503487182230616,1.78659932563396,0.765510193613104,0.893036246659288
"9048",648786.324912649,247744.308018996,389.789306640625,1,1,2,2,2,1,2,2,2,0,0,0,0,0.501714943038909,1.78856729761635,0.654921733331928,0.900143970196315
"9049",650803.284410014,247744.308018996,415.536193847656,1,1,2,2,2,1,2,2,2,0,0,0,0,0.511113802264792,1.79050167641639,0.553740770549033,0.907366625582902
"9050",652820.24390738,247744.308018996,446.887298583984,3,1,2,2,2,1,2,2,2,0,0,0,0,0.533064378596707,1.79238261796011,0.463587951691424,0.914525659756269
"9051",654837.203404745,247744.308018996,424.200134277344,4,1,2,2,2,1,2,2,2,0,0,0,0,0.570114606896692,1.79419177992225,0.385190453342236,0.921441533377833
