"","Easting","Northing","Height","Population","i1_SVM","i6_SVM","i11_SVM","iv14_SVM","i1_MRF","i6_MRF","i11_MRF","iv14_MRF","i1_Change","i6_Change","i11_Change","iv14_Change","i1_Energy","i6_Energy","i11_Energy","iv14_Energy"
"12549",692878.929553733,211591.953041127,1085.78430175781,1,1,2,2,2,1,2,2,2,0,0,0,0,0.0937370060292437,0.00388972023316643,0.00342181065960063,0.00053720034279369
"12550",694388.309839841,211591.953041127,1321.18957519531,1,1,2,2,2,1,2,2,2,0,0,0,0,0.146485583458567,0.00391526386367192,0.00330607932050189,0.147785490908945
"12551",695897.690125949,211591.953041127,1186.55871582031,1,1,2,2,2,1,2,2,1,0,0,0,1,0.107344319779756,0.00394691743224176,0.131877692943965,1.45723334006845
"12552",697407.070412057,211591.953041127,1306.49169921875,1,1,2,2,2,1,2,1,2,0,0,1,0,0.0225970949855782,0.0969813400832236,1.27465846945782,0.220840116548583
"12553",698916.450698165,211591.953041127,1443.47680664062,1,1,2,2,2,1,2,2,2,0,0,0,0,0.153470144683107,0.425374717681196,0.128584003343781,0.294568208754186
"12554",700425.830984273,211591.953041127,1236.22253417969,1,1,2,2,2,1,1,2,1,0,1,0,1,0.273011171454868,1.13426156234359,0.00303577070226119,1.30769619893978
"12555",701935.211270381,211591.953041127,1035.34020996094,7,1,2,2,2,1,2,2,2,0,0,0,0,0.540813071224154,0.217539570660329,0.00299124974387604,0.130360945888371
"12556",703444.591556489,211591.953041127,934.931213378906,12,2,2,2,2,2,2,2,2,0,0,0,0,0.475317345647976,0.132295513769068,0.00294823754638824,0.0532203308601393
"12557",704953.971842597,211591.953041127,1215.50146484375,1,2,2,2,2,1,1,2,2,1,1,0,0,0.967453725407337,1.287321684908,0.00290395087821888,0.0985063834075522
"12558",706463.352128705,211591.953041127,1533.1005859375,1,2,2,2,2,2,2,2,2,0,0,0,0,0.268577178540029,0.308653594855438,0.00285621559514289,0.141586101969257
"12559",707972.732414813,211591.953041127,1074.89965820312,1,2,2,2,2,2,2,2,2,0,0,0,0,0.256110273178567,0.0790652721976678,0.0673936381204418,0.00100696827373812
"12560",709482.112700921,211591.953041127,1637.56323242188,1,2,2,2,2,2,2,2,2,0,0,0,0,0.246695678214222,0.00447206771660338,0.364930065535377,0.00104849410341247
"12561",710991.492987029,211591.953041127,1486.78759765625,1,2,2,2,2,1,2,1,2,1,0,1,0,1.08172707524732,0.00455054112861556,0.740509729118227,0.0010879303363479
"12562",712500.873273137,211591.953041127,1787.16137695312,1,2,2,2,2,2,2,1,2,0,0,1,0,0.166376253732456,0.129645062880168,0.778513180512829,0.00112510800449671
"12563",714010.253559245,211591.953041127,2137.990234375,1,2,2,2,2,2,1,2,2,0,1,0,0,0.00239681851362561,1.33336614830134,0.378857057471135,0.074391427216992
"12564",715519.633845353,211591.953041127,1789.28857421875,1,2,2,2,2,2,2,2,2,0,0,0,0,0.00209584840571174,0.103600940220111,0.120982968469621,0.0926845266645031
