"","Easting","Northing","Height","Population","i1_SVM","i6_SVM","i11_SVM","iv14_SVM","i1_MRF","i6_MRF","i11_MRF","iv14_MRF","i1_Change","i6_Change","i11_Change","iv14_Change","i1_Energy","i6_Energy","i11_Energy","iv14_Energy"
"16228",739669.718423082,247615.651951459,818.925720214844,3,2,2,2,2,1,2,2,2,1,0,0,0,0.187226083477061,0.0039934623764093,0.00119120585718193,0.212913168158111
"16229",741179.09870919,247615.651951459,723.557006835938,1,2,2,2,2,1,2,2,2,1,0,0,0,0.188409031674997,0.00397891456907773,0.0011842652371477,0.00135885503292015
"16230",742688.478995298,247615.651951459,825.47314453125,1,2,2,2,2,1,2,2,2,1,0,0,0,0.189276621327414,0.00396745212777328,0.00118474051566432,0.0013441000423214
"16231",744197.859281406,247615.651951459,763.577575683594,1,2,2,2,2,1,2,2,2,1,0,0,0,0.18981546005507,0.00395948502067947,0.00119263794927105,0.00132986153515827
"16232",745707.239567514,247615.651951459,740.051574707031,3,2,2,2,2,1,2,2,2,1,0,0,0,0.373634851329159,0.00395542956808448,0.00120800180095371,0.00131655428433667
"16233",747216.619853622,247615.651951459,894.244079589844,1,2,2,2,2,1,2,2,2,1,0,0,0,0.549512157615119,0.0662793279900903,0.00123092492276075,0.00130460982456199
"16234",748726.00013973,247615.651951459,1081.50012207031,1,2,2,2,2,1,2,2,2,1,0,0,0,0.589303984747605,0.219085897864947,0.00126155834765932,0.00129447172798361
"16235",750235.380425838,247615.651951459,1058.77502441406,1,2,2,2,2,1,2,2,2,1,0,0,0,0.587350546615962,0.402353893108887,0.00130012012737557,0.00128659167171599
"16236",751744.760711946,247615.651951459,956.998046875,3,2,2,2,2,1,2,2,2,1,0,0,0,0.586146532440638,0.339877960438677,0.00134690361051589,0.00128142646432869
"16237",753254.140998054,247615.651951459,974.556884765625,1,2,2,2,2,1,2,2,2,1,0,0,0,0.453792504654516,0.231449478870786,0.00140228531524311,0.00127943612763573
"16238",754763.521284162,247615.651951459,952.051696777344,1,2,2,2,2,1,2,2,2,1,0,0,0,0.375152871169115,0.535594328703464,0.00146673251401306,0.374222889510721
"16239",756272.90157027,247615.651951459,774.437072753906,3,2,2,2,2,1,1,2,1,1,1,0,1,0.216218169037622,0.558014377700209,0.00154081061344457,0.546670986036167
"16240",757782.281856378,247615.651951459,492.975433349609,31,2,2,2,2,1,1,2,1,1,1,0,1,0.184207759734099,0.608866291451234,0.00162519037810509,0.339223526730448
"16241",759291.662142486,247615.651951459,427.38671875,1,2,2,2,2,1,1,2,1,1,1,0,1,0.183238003296904,0.553946517841752,0.294481078893416,0.315364321510697
"16242",760801.042428594,247615.651951459,416.597808837891,1,2,2,2,2,1,1,2,1,1,1,0,1,0.18234840447615,0.567432793620873,0.186560454414262,0.54702702471647
"16243",762310.422714702,247615.651951459,412.839660644531,1,2,2,2,2,1,1,2,2,1,1,0,0,0.181559293846549,0.973291459639288,0.0019485750202555,0.31253880571865
"16244",763819.80300081,247615.651951459,413.652008056641,1,2,2,2,2,1,2,2,2,1,0,0,0,0.180881069799596,0.19292210777828,0.00208321964462882,0.00139376444447004
"16245",765329.183286918,247615.651951459,412.610076904297,1,2,2,2,2,1,2,2,2,1,0,0,0,0.18031389819462,0.00444944608753484,0.00223333941819854,0.00143425608573146
"16246",766838.563573026,247615.651951459,411.024108886719,1,2,2,2,2,1,2,2,2,1,0,0,0,0.179847719003918,0.00454367095636156,0.00240037517527476,0.00148234017543607
"16247",768347.943859134,247615.651951459,410.270172119141,1,2,2,2,2,1,2,2,2,1,0,0,0,0.179462534562408,0.00464779196709342,0.00258591318882515,0.00153857810968899
"16248",769857.324145242,247615.651951459,441.438812255859,1,2,2,2,2,1,2,2,2,1,0,0,0,0.179128969018766,0.0267463469469597,0.00279168618408555,0.00160355106111866
"16249",771366.70443135,247615.651951459,742.36767578125,1,2,2,2,2,1,2,2,2,1,0,0,0,0.178809101859021,0.10812136783676,0.00301957148770772,0.00157186990799234
"16250",772876.084717458,247615.651951459,1186.96728515625,1,2,2,2,2,1,2,2,2,1,0,0,0,0.178457586692483,0.53357373497368,0.00327158536821625,0.00164967202537707
"16251",774385.465003566,247615.651951459,1328.00317382812,1,2,2,2,2,1,2,2,2,1,0,0,0,0.178023067385515,0.25677037520878,0.00354987247773357,0.001737125544866
"16252",775894.845289674,247615.651951459,913.885009765625,1,2,2,2,2,1,2,2,2,1,0,0,0,0.177449895634011,0.228303619478262,0.00385668921682047,0.00183477834740861
